Idx,Lat,Lon,Model,MAE,RMSE,R2,MAPE,Zone
462,27.0,74.0,ARIMA,2.0492056053736127,2.476774707577424,-0.10468057118447249,0.782030316040396,Zone-4
462,27.0,74.0,Prophet,76.40878427866745,184.7227152214639,-6143.75136720848,29.139851734014748,Zone-4
462,27.0,74.0,RandomForest,4.105699999999997,4.320127997111721,-2.360910413359072,1.5681728541408548,Zone-4
462,27.0,74.0,LSTM,1.8907821219308079,2.415093744955212,-0.05034432643433906,0.7183815107200691,Zone-4
463,27.0,74.25,HoltWinters,8.380142386330869,9.529189393137056,-1.4188493009635286,2.662188159695861,Zone-4
463,27.0,74.25,ARIMA,8.54441472045707,9.928505601797418,-1.6258182645585015,2.7062656357636166,Zone-4
463,27.0,74.25,Prophet,1699.4249810564281,2897.1062686375303,-223575.29047242302,544.5732164075478,Zone-4
463,27.0,74.25,RandomForest,12.462587500000007,14.34265410415584,-4.479689421353085,3.9481877721835605,Zone-4
463,27.0,74.25,LSTM,7.651974487304689,8.90124402384805,-1.110562944499414,2.4255692355845713,Zone-4
464,27.0,74.75,HoltWinters,0.9741762316997925,1.6112682361278214,-8.202734573908364,0.23832061984521472,Zone-4
464,27.0,74.75,ARIMA,0.5776643536721541,0.7088113171668848,-0.7809121260940244,0.14133604239770103,Zone-4
464,27.0,74.75,Prophet,4248.032333400966,6520.020893582118,-150688176.30692598,1038.4757130470125,Zone-4
464,27.0,74.75,RandomForest,0.5292428571428494,0.5646202295095514,-0.13004066835938,0.12942894280941278,Zone-4
464,27.0,74.75,LSTM,0.62014787946429,0.7041410282077271,-0.7575209277504531,0.15152493453064983,Zone-4
465,27.0,75.25,HoltWinters,2.0989778797405925,2.869053022181954,-2.681148094088522,0.5723298065607441,Zone-4
465,27.0,75.25,ARIMA,2.9640286752647476,3.174060008043226,-3.505431666644987,0.8081628129524331,Zone-4
465,27.0,75.25,Prophet,2825.9074657011793,5971.43096619499,-15946410.71138318,774.4653514604945,Zone-4
465,27.0,75.25,RandomForest,1.7779611111111409,1.9452101425324786,-0.6921512985907461,0.48378942080416576,Zone-4
465,27.0,75.25,LSTM,11.5293505859375,11.786575436843485,-61.12714852930763,3.139733874154001,Zone-4
466,27.0,75.5,HoltWinters,3.112678326604521,3.756875904470342,-2.289506217262204,0.7197518942757146,Zone-4
466,27.0,75.5,ARIMA,2.1650974031957957,2.768905555480304,-0.7868713975833714,0.5003767442780209,Zone-4
466,27.0,75.5,Prophet,46.32621601252016,58.090689313201494,-785.4843255374429,10.741004506221925,Zone-4
466,27.0,75.5,RandomForest,1.7856799999999908,2.0690014021261502,0.0023031942254011506,0.4140501456397847,Zone-4
466,27.0,75.5,LSTM,1.8543897705078052,2.3930470244568687,-0.3346871443601829,0.4284299193392309,Zone-4
467,27.0,75.75,HoltWinters,4.54441333750682,5.784591315347172,-0.7670005459012965,1.0987970445759192,Zone-4
467,27.0,75.75,ARIMA,5.923158743511725,6.975724179932366,-1.5696260228710033,1.4311794242017333,Zone-4
467,27.0,75.75,Prophet,2715.910682223739,4665.430967212006,-1149408.6967526958,651.5908854720223,Zone-4
467,27.0,75.75,RandomForest,6.286650000000009,7.636479940800609,-2.079482580946967,1.5187132193841297,Zone-4
467,27.0,75.75,LSTM,6.610666402180996,7.64248341827237,-2.0843264020606123,1.5969436786266828,Zone-4
468,27.0,76.0,HoltWinters,3.5223541747194944,6.662948686119116,-0.15390277084924664,0.8585236997671173,Zone-4
468,27.0,76.0,ARIMA,3.7665451212272285,6.60187993082961,-0.13284768626450227,0.9159837350314858,Zone-4
468,27.0,76.0,Prophet,1211.9184867801143,1882.735758375862,-92131.9593837001,288.22171798264344,Zone-4
468,27.0,76.0,RandomForest,4.3659090909091045,7.072692637692718,-0.30018708911911873,1.0598571887183494,Zone-4
468,27.0,76.0,LSTM,3.9621330122514307,6.673762975041183,-0.1576514909002682,0.962548015859957,Zone-4
469,27.0,76.25,HoltWinters,6.02577747079233,6.928300371800136,-8.902510327764396,1.4064103783795203,Zone-1
469,27.0,76.25,ARIMA,4.486347451375669,4.997469871958374,-4.1521945901073725,1.0468077236675246,Zone-1
469,27.0,76.25,Prophet,6287.4387617376915,8956.866222045917,-16550230.142100858,1464.9734308174943,Zone-1
469,27.0,76.25,RandomForest,4.559349999999999,5.069846203288616,-4.3025095334776084,1.0638099008093622,Zone-1
469,27.0,76.25,LSTM,4.568901977539061,5.076325315804168,-4.316071092228131,1.066034160362432,Zone-1
470,27.0,76.5,HoltWinters,3.744454750561755,4.773974923296873,-1.5945884686635332,1.385429002114811,Zone-1
470,27.0,76.5,ARIMA,4.070621621621626,4.48637883540663,-1.2913957491049337,1.5066914823134696,Zone-1
470,27.0,76.5,Prophet,1072.9241484714971,1645.2609708291518,-308160.0942515611,397.25586382854084,Zone-1
470,27.0,76.5,RandomForest,6.608510000000007,7.068439124693662,-4.687943331839325,2.4365077416181475,Zone-1
470,27.0,76.5,LSTM,4.521902099609383,4.842582602362614,-1.6696989557597357,1.6737731695436437,Zone-1
471,27.0,76.75,HoltWinters,5.816067364108779,7.08977557554345,0.036464118754042096,2.7037720155294394,Zone-1
471,27.0,76.75,ARIMA,6.642753197276623,7.344849510960707,-0.03411471978288616,3.0853109020861447,Zone-1
471,27.0,76.75,Prophet,904.9311854900134,1596.0590456783402,-48830.58532162505,429.79931828929,Zone-1
471,27.0,76.75,RandomForest,6.883565384615388,7.763372389241581,-0.15532388896016536,3.2220296551312173,Zone-1
471,27.0,76.75,LSTM,6.446899977463945,7.222994175192811,-8.622494400634118e-05,3.0036644761073763,Zone-1
472,27.0,77.0,HoltWinters,3.0899089958495116,4.233220608819096,-5.013238997742623,1.719044820530483,Zone-1
472,27.0,77.0,ARIMA,4.0546153846153805,4.406815525628801,-5.51653006771903,2.2521244495537647,Zone-1
472,27.0,77.0,Prophet,813.4334705804002,1104.5885121688214,-409417.7294677489,449.667276444534,Zone-1
472,27.0,77.0,RandomForest,4.009319230769244,4.361331521605099,-5.38270632382016,2.2269855904977187,Zone-1
472,27.0,77.0,LSTM,3.0610677396334154,3.499063421237265,-3.1083770098532124,1.7023351493191952,Zone-1
473,27.0,77.25,HoltWinters,3.8195146041709336,4.153751391143173,-4.67982867259864,2.2491572028011926,Zone-1
473,27.0,77.25,ARIMA,4.478080808080815,4.805300604180893,-6.601431008370626,2.6369990164194395,Zone-1
473,27.0,77.25,Prophet,241.81505333191657,649.6503961094998,-138934.63536157223,143.4524683128058,Zone-1
473,27.0,77.25,RandomForest,5.923477777777783,6.05400444882595,-11.065343973720966,3.4767191523764764,Zone-1
473,27.0,77.25,LSTM,4.282662353515623,4.567010561019445,-5.866228752126572,2.521398908644826,Zone-1
474,27.0,77.5,HoltWinters,0.7511004922096622,1.0417685694665137,-0.9952549719496031,0.4532608573656707,Zone-1
474,27.0,77.5,ARIMA,2.9412595554556513,3.0424236338686255,-16.01748094063039,1.7755902445793468,Zone-1
474,27.0,77.5,Prophet,2867.0163074952047,3977.021903839388,-29078490.07300665,1730.5361946189564,Zone-1
474,27.0,77.5,RandomForest,1.8852884615384653,2.063649758922284,-6.8293892083875605,1.13887889419575,Zone-1
474,27.0,77.5,LSTM,1.5530606783353345,1.7229698203012336,-4.457719879401324,0.9384664716946555,Zone-1
475,27.0,77.75,HoltWinters,1.1735114560217115,1.3813411133488154,-1.9210441222812298,0.765551265456838,Zone-1
475,27.0,77.75,ARIMA,2.4472239991166798,2.7420323380862093,-10.51016065855403,1.5963505603867532,Zone-1
475,27.0,77.75,Prophet,715.665413450929,849.372191219449,-1104414.0513566274,465.5586962394731,Zone-1
475,27.0,77.75,RandomForest,1.9957818181818203,2.231041665904072,-6.619940900033435,1.3018852891279675,Zone-1
475,27.0,77.75,LSTM,2.494998501864346,2.7330413326941496,-10.434801773168772,1.626971720278734,Zone-1
477,27.0,78.5,HoltWinters,0.8280523215333662,0.9754996418679512,-2.2691029702880026,0.5091725264244699,Zone-1
477,27.0,78.5,ARIMA,0.6289583333333313,0.7596650680563078,-0.9825250555862863,0.38664745320776595,Zone-1
477,27.0,78.5,Prophet,0.9605610986049586,1.055586503721819,-2.8279127420249193,0.5922527735108147,Zone-1
477,27.0,78.5,RandomForest,0.5741888888888853,0.6914706035368027,-0.6425621650507485,0.35302809194430096,Zone-1
477,27.0,78.5,LSTM,0.6564675564236117,0.7966452381680017,-1.180239987579879,0.4035270834046296,Zone-1
478,27.0,78.75,HoltWinters,0.9301197865409537,1.1519032562861746,-2.0711667858953793,0.5938433668260013,Zone-1
478,27.0,78.75,ARIMA,0.5749524938722407,0.6571310109390283,0.0005172210158103097,0.3677206873762254,Zone-1
478,27.0,78.75,Prophet,225.46245672166833,260.6580950834877,-157257.3897905963,144.37329696364182,Zone-1
478,27.0,78.75,RandomForest,0.776686363636362,0.9795822306426885,-1.2210236725143266,0.4966612348474763,Zone-1
478,27.0,78.75,LSTM,0.6089883145419012,0.7106098277822569,-0.16878279348683534,0.3887489491889343,Zone-1
479,27.0,79.0,HoltWinters,0.5543462543010094,0.7176961530394743,0.694636134640942,0.35590523862156326,Zone-1
479,27.0,79.0,ARIMA,0.9686475282594434,1.30058718072573,-0.002802356336316203,0.625615918844214,Zone-1
479,27.0,79.0,Prophet,18.042827729594443,25.311874054011536,-378.8262794202872,11.551673791594812,Zone-1
479,27.0,79.0,RandomForest,1.1048541666666694,1.6010455044412915,-0.5196506445883693,0.715139066701705,Zone-1
479,27.0,79.0,LSTM,1.0321050008138026,1.3339762672834214,-0.054951791365547065,0.6659748955621034,Zone-1
480,27.0,79.25,HoltWinters,1.4084063625697851,1.5205332871746295,-2.325094707375798,0.9455710704132474,Zone-1
480,27.0,79.25,ARIMA,1.1908436545507115,1.315191016424419,-1.4876531257807373,0.7992041427432159,Zone-1
480,27.0,79.25,Prophet,0.5556789201154864,0.9227014512887299,-0.22443169483381986,0.3722040891662149,Zone-1
480,27.0,79.25,RandomForest,1.0578812499999977,1.3560802302730786,-1.6447396410850756,0.7071956207301525,Zone-1
480,27.0,79.25,LSTM,0.8870890808105472,0.9495912869942115,-0.29683761167126166,0.5947189367439637,Zone-1
481,27.0,79.5,HoltWinters,1.183648393669071,1.5033820311817445,-20.313304468903937,0.8781049781198458,Zone-1
481,27.0,79.5,ARIMA,0.7208685956696002,0.8057986278900682,-5.123012215408442,0.534863950003201,Zone-1
481,27.0,79.5,Prophet,20.221026654304026,38.77995289630738,-14180.645766721253,15.017338043192074,Zone-1
481,27.0,79.5,RandomForest,0.6061500000000011,0.7309988423383467,-4.039012748847618,0.4498630998825006,Zone-1
481,27.0,79.5,LSTM,0.5836638726128519,0.6648513899868007,-3.1683218115114657,0.43330790514895257,Zone-1
482,27.0,79.75,HoltWinters,1.064396277303743,1.1548253615727029,-10.870347005594555,0.8372448279012972,Zone-1
482,27.0,79.75,ARIMA,0.43289473684211544,0.5384239465889289,-1.5803553770874843,0.34103996943869697,Zone-1
