Lat,Lon,Best_Model,R2
25.75,82.5,LSTM,-0.39188716206092145
25.75,82.75,SARIMA,0.4683094439323551
25.75,83.0,RNN,-0.28515413521153654
25.75,83.25,SARIMA,0.35526177374616386
25.75,83.5,RNN,-0.9828337882119809
25.75,83.75,SARIMA,0.030617724772985078
25.75,84.0,RNN,0.3814855660593012
25.75,84.25,RNN,-0.07747250518042748
25.75,84.5,RNN,-1.6762173106005185
26.0,70.0,LSTM,-1.9412653613033481
26.0,70.75,RNN,-0.23338522207387413
26.0,71.0,SARIMA,-0.6959161261999178
26.0,71.5,SARIMA,-0.08982281300934325
26.0,71.75,SARIMA,-1.2210857691410912
26.0,72.25,LSTM,0.09249830638986689
26.0,72.5,SARIMA,-1.6178132283722562
26.0,72.75,LSTM,0.023784390086114993
26.0,73.0,RNN,0.08731460908121214
26.0,73.25,SARIMA,0.07609333982412592
26.0,73.5,LSTM,-0.0075687463738671745
26.0,73.75,SARIMA,-0.6112406700129205
26.0,74.0,SARIMA,-0.1511167126179478
26.0,74.25,RNN,-1.3819816970257328
26.0,74.5,RNN,0.17382034162300952
26.0,74.75,RNN,-0.06572628367903133
26.0,75.0,SARIMA,-0.16820060304149287
26.0,75.25,LSTM,0.11046116643799286
26.0,75.5,SARIMA,-0.035345724067887385
26.0,75.75,LSTM,0.01622740605618589
26.0,76.25,SARIMA,-0.06621731586807922
26.0,76.5,LSTM,0.08666031824176312
26.0,79.0,LSTM,-0.14076190956001722
26.0,79.25,RNN,-0.273955332832422
26.0,79.5,RNN,0.009855391677779601
26.0,79.75,SARIMA,-8.09461351961319
26.0,80.0,LSTM,0.08042136063955763
26.0,80.25,SARIMA,0.05453525415284921
26.0,80.5,RNN,-0.049342754402388334
26.0,80.75,LSTM,0.09119573535885239
26.0,81.0,LSTM,0.01061894313515721
26.0,81.25,SARIMA,0.3415418870138993
26.0,81.5,RNN,-0.026724439982222847
26.0,81.75,LSTM,0.09246592139655607
26.0,82.0,RNN,0.09857515369807524
26.0,82.25,RNN,0.1750597211610656
26.0,82.5,SARIMA,-0.30138921206653424
26.0,82.75,SARIMA,0.07173297583273619
26.0,83.0,LSTM,0.05111529650086777
26.0,83.25,LSTM,-0.020087763318485496
26.0,83.5,LSTM,-0.027402745602943757
26.0,83.75,SARIMA,0.1668959294665231
26.25,70.25,PCHIP,-0.04112695851657544
26.25,71.25,LSTM,-1.85281980464941
26.25,71.5,SARIMA,-2.8578864442410277
26.25,71.75,RNN,0.03172540529878809
26.25,72.0,PCHIP,-0.36631849188864485
26.25,72.25,PCHIP,-0.2500000000000002
26.25,72.5,SARIMA,0.009013972663580172
26.25,72.75,RNN,-0.23091729823252494
26.25,73.0,LSTM,-0.19771736796715578
26.25,73.25,SARIMA,-0.8341527097995409
26.25,73.75,LSTM,0.042989347085057195
26.25,74.0,LSTM,-0.20605841313432194
26.25,74.5,RNN,0.18679530660916333
26.25,74.75,SARIMA,-0.21793384263381443
26.25,75.0,PCHIP,-10.126930915601646
26.25,75.25,SARIMA,-0.24835788470288755
26.25,75.5,SARIMA,-0.5247376391534546
26.25,75.75,SARIMA,-0.19837048806778812
26.25,76.0,SARIMA,-0.30294641279852663
26.25,76.25,PCHIP,-0.06075174800483096
26.25,76.5,RNN,-6.178883601825294
26.25,76.75,LSTM,-1.2641217246733638
26.25,77.0,RNN,-1.3530997413805603
26.25,79.0,RNN,0.19905078528063536
26.25,79.25,RNN,-0.35423396308266053
26.25,79.5,RNN,-5.566922979758733
26.25,79.75,SARIMA,-0.4276973284275505
26.25,80.0,LSTM,-0.005024465173609327
26.25,80.25,LSTM,-0.19856620366852185
26.25,80.5,SARIMA,0.08752510253923795
26.25,80.75,RNN,-3.627203252363378
26.25,81.0,LSTM,-0.0976328278616434
26.25,81.25,LSTM,0.07763408729115295
26.25,81.5,RNN,0.26511600657374934
26.25,81.75,SARIMA,0.40765744977539553
26.25,82.0,LSTM,-0.1465759915664211
26.25,82.25,RNN,0.04860168662707465
26.25,82.5,RNN,0.42928393369395723
26.25,82.75,LSTM,-6.467224987058346
26.25,83.25,LSTM,-1.6365046594091357
26.25,83.5,LSTM,0.003845457261381413
